,S.No.,Name,Market Cap(Cr),Sales Quarterly(Cr),Categeory
358,371,Elgi Equipment,4954.08,415.42,p
359,372,JK Lakshmi Cem.,4931.55,837.41,p
360,373,Zydus Wellness,4921.45,132.4,p
361,374,Equitas Holdings,4886.09,429.86,p
362,375,India Cements,4885.75,1213.08,p
363,376,Dishman Pharma.,4861.2,534.22,p
364,377,South Ind.Bank,4856.71,1576.96,p
365,378,Polaris Consulta,4830.44,680.07,p
366,379,V I P Inds.,4819.63,337.99,p
367,380,APL Apollo,4775.03,1314.38,p
368,381,Sadbhav Infra.,4735.67,1278.3,p
369,382,Jindal Stain.,4726.91,2988.86,p
370,383,Swan Energy,4721.49,1278.3,p
371,384,NIIT Tech.,4658.2,1278.3,p
372,385,Caplin Point Lab,4600.73,1278.3,p
373,386,Indian Energy Ex,4595.7,1278.3,p
374,387,Shoppers St.,4558.06,1278.3,p
375,388,Godfrey Phillips,4512.29,1278.3,p
376,389,Jindal Stain .Hi,4498.09,2438.58,p
377,390,R C F,4493.52,1985.06,p
378,391,Rallis India,4493.2,1278.3,p
379,392,Stand.Chart.PLC,4487.31,1278.3,p
380,393,G M D C,4456.77,1278.3,p
381,394,Manpasand Bever.,4406.8,1278.3,p
382,395,Tata Inv.Corpn.,4401.66,1278.3,p
383,396,Essel Propack,4371.24,1278.3,p
384,397,Allcargo Logist.,4369.69,1479.91,p
385,398,Radico Khaitan,4358.48,1278.3,p
386,399,Cera Sanitary.,4356.9,1278.3,p
387,400,BSE,9885.05,1278.3,q
388,401,Forbes & Co,4331.82,1278.3,p
389,402,S B T,4328.47,2365.94,p
390,403,KNR Construct.,4325.39,1278.3,p
391,404,PNC Infratech,4307.29,1278.3,p
392,405,Greenply Inds.,4295.02,1278.3,p
393,406,Ujjivan Fin.Ser.,4293.42,1278.3,p
394,407,Monsanto India,4291.43,1278.3,p
395,408,Vinati Organics,4279.07,1278.3,p
396,409,Jindal Saw,4278.31,1278.3,p
397,410,Lux Industries,4269.78,1278.3,p
398,411,Linde India,4198.33,1278.3,p
399,412,Ratnamani Metals,4194.31,1278.3,p
400,413,Cox & Kings,4179.29,1356.07,p
401,414,Omaxe,4168.29,1278.3,p
402,415,Ashoka Buildcon,4166.87,1278.3,p
403,416,Time Technoplast,4156.58,1278.3,p
404,417,Phillips Carbon,4149.67,1278.3,p
405,418,Allahabad Bank,4137.11,4243.83,p
406,419,Welspun Corp,4103.05,2304.16,p
407,420,NESCO,4093.02,1278.3,p
408,421,CARE Ratings,4090.69,1278.3,p
409,422,JP Associates,4074.37,1278.3,p
410,423,Andhra Bank,4067.25,4549.26,p
411,424,Zensar Tech.,4066.42,793.76,p
412,425,S H Kelkar & Co.,4057.34,283.12,p
413,426,Mahindra Holiday,4030.35,267.54,p
414,427,Sintex Plastics,4022.02,1332.73,p
415,428,SREI Infra. Fin.,4009.63,1405.19,p
416,429,Techno Elec.,3975.44,275.64,p
417,430,Minda Corp,3974.83,1278.3,p
418,431,HMT,3973.5,1278.3,p
419,432,KPIT Tech.,3927.26,912.77,p
420,433,Triveni Turbine,3910.17,165.59,p
421,434,Shankara Build.,3901.07,624.62,p
422,435,Multi Comm. Exc.,3847.19,1278.3,p
423,436,Brigade Enterpr.,3846.15,423.91,p
424,437,Gayatri Projects,3835.73,1278.3,p
425,438,Magma Fincorp,3826.83,580.58,p
426,439,VRL Logistics,3824.69,489.34,p
427,440,ICRA,3809,1278.3,p
428,441,Shriram Pistons,3804.58,1278.3,p
429,442,IFCI,3789.45,1278.3,p
430,443,Suprajit Engg.,3777.26,366.29,p
431,444,J & K Bank,3775.5,1682.97,p
432,445,Navin Fluo.Intl.,3769.26,221.45,p
433,446,Karnataka Bank,3765.74,1332.24,p
434,447,Shilpa Medicare,3764.1,185.53,p
435,448,Kushal,3761.86,578.18,p
436,449,Venky's (India),3760.61,695.85,p
437,450,Force Motors,9885.05,1278.3,q
438,451,CCL Products,3748.73,273.99,p
439,452,Excel Crop Care,3734.06,258.65,p
440,453,Trident,3722.6,1137.17,p
441,454,Corporation Bank,3716.46,4387.85,p
442,455,Rane Holdings,3711.8,593.74,p
443,456,Team Lease Serv.,3677.34,918.06,p
444,457,Oriental Bank,3674.6,4262.08,p
445,458,I T D C,3619.04,102.14,p
446,459,JP Power Ven.,3597.6,1278.3,p
447,460,S C I,3582,879.56,p
448,461,JK Tyre & Indust,3577.98,2123.24,p
449,462,Deepak Nitrite,3531.9,371.14,p
450,463,Heidelberg Cem.,3531.77,491.23,p
451,464,Amber Enterp.,3529.87,1278.3,p
452,465,Sharda Cropchem,3528.07,325.46,p
453,466,Dixon Technolog.,3526.8,677.8,p
454,467,Himatsing. Seide,3511.08,595.61,p
455,468,La Opala RG,3510.93,69.77,p
456,469,H F C L,3482.71,714.42,p
457,470,Reliance Home,3470.6,403,p
458,471,Rupa & Co,3460.91,277.96,p
459,472,Hind.Construct.,3452.57,1278.3,p
460,473,Ent.Network,3380.99,148.42,p
461,474,Supreme Petroch.,3377.57,725.02,p
462,475,MAS FINANC SER,3376.2,112.05,p
463,476,Thyrocare Tech.,3374.38,77.84,p
464,477,Prakash Inds.,3336.05,725.97,p
465,478,Repco Home Fin,3331.08,277.48,p
466,479,Sonata Software,3329.58,766.75,p
467,480,Central Dep. Ser,3316.31,47.24,p
468,481,Puravankara,3274.9,440.09,p
469,482,Tejas Networks,3209.89,229.87,p
470,483,ITD Cem,3192.67,472.98,p
471,484,Hathway Cable,3189.1,138.65,p
472,485,Dhanuka Agritech,3188.62,221.51,p
473,486,Mahindra Logis.,3187.51,835.06,p
474,487,Heritage Foods,3185.45,581.74,p
475,488,Mah. Seamless,3164.73,563.66,p
476,489,Navneet Educat.,3148.36,174.41,p
477,490,Firstsour.Solu.,3139.94,887.24,p
478,491,Kaveri Seed Co.,3125.83,70.64,p
479,492,Star Ferro Cem.,3115.98,393.49,p
480,493,Deepak Fert.,3079.06,1644.92,p
481,494,Va Tech Wabag,3041.93,460.89,p
482,495,Prime Focus,3031.5,609.61,p
483,496,Lak. Vilas Bank,3029.57,790.17,p
484,497,NOCIL,3026.26,249.27,p
485,498,Orient Cement,3024.32,511.53,p
486,499,Natl.Fertilizer,3017.07,2840.75,p
487,500,L T Foods,9885.05,1278.3,q
